YEAR,MONTH,AGE,SEX,RACE,EDUC,EMPSTAT,WTFINL,MARST,METRO,DIFFANY
2023,3,45,2,100,92,10,2105.16,1,3,1
2023,3,45,1,100,73,10,2316.5721,1,3,1
2023,3,18,1,100,81,34,3178.7857,6,3,1
2023,3,15,2,100,30,34,2845.3782,6,3,1
2023,3,12,1,100,1,0,2571.2959,9,3,0
2023,3,29,2,100,123,10,2973.2942,1,3,1
2023,3,28,1,100,111,10,3081.3542,1,3,1
2023,3,47,2,100,20,34,2106.6948,1,3,1
2023,3,45,1,100,20,10,3217.3644,1,3,1
2023,3,10,1,100,1,0,2862.569,9,3,0
2023,3,13,2,100,1,0,3550.0524,9,3,0
2023,3,18,2,100,71,34,3392.8095,6,3,1
2023,3,25,2,100,40,34,3127.7312,1,3,1
2023,3,26,1,100,40,10,3108.3997,1,3,1
2023,3,1,1,100,1,0,3222.8225,9,3,0
2023,3,10,1,100,1,0,2862.569,9,3,0
2023,3,73,2,100,92,36,1698.2321,5,2,2
2023,3,78,1,100,111,36,2123.6333,5,2,2
2023,3,68,2,100,81,10,1842.8229,1,3,1
2023,3,71,1,100,111,10,2100.2505,1,3,2
2023,3,48,2,100,111,10,2105.16,4,3,1
2023,3,25,1,100,81,10,3081.3542,6,3,1
2023,3,16,2,100,40,34,2792.0438,6,3,1
2023,3,10,2,100,1,0,2666.036,9,3,0
2023,3,38,1,100,123,10,3031.6178,1,3,1
2023,3,37,2,100,111,34,2684.2696,1,3,1
2023,3,9,2,100,1,0,3091.4995,9,3,0
2023,3,6,1,100,1,0,2639.5952,9,3,0
2023,3,12,2,100,1,0,3591.4236,9,3,0
2023,3,74,2,200,111,36,1700.9622,6,2,1
2023,3,80,2,100,123,36,2061.5398,4,2,1
2023,3,66,2,200,111,10,1700.9622,6,2,2
2023,3,74,2,100,73,34,1679.2697,1,3,1
2023,3,76,1,100,81,36,2210.6374,1,3,1
2023,3,35,1,100,73,10,3031.6178,6,3,1
2023,3,42,1,100,111,10,2689.6857,1,3,1
2023,3,39,2,100,123,10,2684.2696,1,3,1
2023,3,6,2,100,1,0,2787.3676,9,3,0
2023,3,7,2,100,1,0,3460.4137,9,3,0
2023,3,77,1,200,30,32,1832.9169,5,2,2
2023,3,30,1,100,73,10,2715.7639,1,3,1
2023,3,32,2,100,123,12,2636.7249,1,3,1
2023,3,11,1,100,1,0,2903.1957,9,3,0
2023,3,1,1,100,1,0,2872.5019,9,3,0
2023,3,76,2,100,111,36,1958.2907,1,2,2
2023,3,79,1,100,125,36,2123.6333,1,2,2
2023,3,49,1,100,111,10,687.8875,1,2,1
2023,3,28,2,100,111,10,580.8466,1,2,1
2023,3,73,2,300,81,36,1166.5365,4,2,1
2023,3,36,1,801,81,10,820.4329,6,1,2
2023,3,44,2,100,81,10,408.4109,6,1,1
2023,3,5,1,100,1,0,535.3369,9,1,0
2023,3,39,1,100,73,10,860.051,6,1,1
2023,3,66,2,100,111,10,712.157,4,2,1
2023,3,26,2,100,92,12,580.8466,6,2,1
2023,3,70,2,100,81,34,648.952,6,2,1
2023,3,25,2,100,81,10,580.8466,4,2,1
2023,3,2,2,802,1,0,590.8947,9,2,0
2023,3,39,1,802,73,10,802.3131,6,2,1
2023,3,64,2,802,73,32,993.9914,6,1,2
2023,3,49,2,100,81,10,707.5518,1,2,1
2023,3,50,1,100,81,10,678.5933,1,2,1
2023,3,21,2,100,81,10,545.9816,6,2,1
2023,3,71,1,651,123,10,550.7055,4,1,1
2023,3,57,2,100,123,10,784.4198,5,1,1
2023,3,52,1,100,73,10,664.0712,1,1,1
2023,3,50,2,100,73,10,713.0298,1,1,1
2023,3,26,2,100,73,10,494.3648,6,1,1
2023,3,63,1,100,123,36,747.7063,4,1,1
2023,3,22,2,100,81,12,534.2974,1,3,1
2023,3,21,1,100,81,10,840.8699,1,3,1
2023,3,36,1,100,81,1,0.0,6,2,0
2023,3,26,2,100,111,10,494.3648,6,2,1
2023,3,62,2,100,73,36,779.7406,6,2,1
2023,3,40,1,802,73,10,770.6155,5,3,1
2023,3,60,2,300,81,34,1021.0294,5,3,1
