EMPSTATUS,SEX_F,EDUC_LEVEL,MARITAL,RESIDENCE,AGE_GROUP,MINORITY,DISABLED,WTFINL
Employed,Female,Higher,Married,Urban,25-35,0,No difficulty,524.3843
Employed,Male,Primary,Married,Urban,41-64,1,No difficulty,677.1234
Inactive,Female,Secondary,Married,Urban,41-64,1,No difficulty,829.7328
Unemployed,Female,Secondary,Single,Urban,16-24,0,No difficulty,627.7648
Employed,Female,Primary,Single,Urban,16-24,0,No difficulty,545.4385
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,987.9677
Employed,Female,Secondary,Single,Urban,25-35,0,No difficulty,515.0962
Employed,Male,Higher,Married,Urban,41-64,0,No difficulty,585.4684
Employed,Female,Secondary,Married,Urban,41-64,1,No difficulty,883.8302
Employed,Female,Secondary,Single,Urban,16-24,1,No difficulty,790.0776
Employed,Male,Higher,Single,Urban,41-64,0,No difficulty,628.2885
Inactive,Female,Primary,Single,Urban,36-40,1,No difficulty,669.0766
Employed,Male,Higher,Married,Urban,41-64,1,No difficulty,750.2087
Inactive,Female,Secondary,Married,Urban,41-64,0,No difficulty,399.6708
Inactive,Male,Secondary,Single,Rural,41-64,0,No difficulty,628.2885
Employed,Male,Secondary,Married,Urban,41-64,1,No difficulty,731.593
Employed,Female,Secondary,Single,Urban,16-24,0,No difficulty,545.4385
Employed,Male,Secondary,Single,Urban,16-24,1,No difficulty,1329.3653
Employed,Female,Secondary,Married,Urban,36-40,0,No difficulty,455.268
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,835.2444
Employed,Male,Primary,Married,Rural,25-35,1,No difficulty,802.3131
Inactive,Female,Secondary,Married,Rural,41-64,1,No difficulty,864.1455
Inactive,Female,Primary,Single,Rural,16-24,1,No difficulty,810.2059
Inactive,Female,Primary,Single,Rural,16-24,1,No difficulty,810.2059
Employed,Male,Secondary,Single,Urban,16-24,1,No difficulty,829.0619
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,859.2583
Inactive,Male,Secondary,Single,Urban,41-64,0,No difficulty,813.2722
Inactive,Male,Primary,Single,Urban,41-64,1,Disabled,644.215
Employed,Female,Secondary,Married,Urban,25-35,0,No difficulty,524.3843
Inactive,Male,Secondary,Married,Urban,41-64,1,Disabled,1039.0977
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,6261.9928
Employed,Female,Secondary,Married,Urban,41-64,0,No difficulty,4194.8377
Employed,Male,Higher,Married,Urban,41-64,0,No difficulty,5238.9472
Employed,Female,Higher,Married,Urban,41-64,1,No difficulty,3560.7539
Inactive,Female,Secondary,Married,Urban,41-64,0,Disabled,4464.8755
Inactive,Male,Secondary,Married,Urban,41-64,0,No difficulty,4808.1836
Employed,Female,Higher,Single,Urban,41-64,0,No difficulty,3736.0922
Employed,Male,Higher,Married,Urban,41-64,0,No difficulty,4645.4539
Inactive,Female,Secondary,Married,Urban,41-64,0,No difficulty,4464.8755
Employed,Male,Secondary,Single,Urban,41-64,0,No difficulty,4302.7517
Employed,Female,Secondary,Single,Urban,41-64,0,No difficulty,4342.9839
Employed,Male,Secondary,Single,Urban,41-64,0,No difficulty,5238.9472
Inactive,Male,Secondary,Single,Urban,41-64,0,No difficulty,4423.5141
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,4541.3016
Inactive,Male,Secondary,Single,Urban,16-24,0,No difficulty,6894.3035
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,6473.2283
Inactive,Female,Higher,Married,Urban,41-64,0,No difficulty,4464.8755
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,5238.9472
Employed,Male,Higher,Single,Urban,41-64,0,No difficulty,4302.7517
Inactive,Female,Secondary,Married,Urban,41-64,0,No difficulty,4048.4353
Employed,Female,Higher,Married,Urban,41-64,0,No difficulty,4027.3466
Employed,Male,Higher,Married,Urban,41-64,0,No difficulty,4423.5141
Employed,Female,Primary,Single,Urban,16-24,0,No difficulty,5009.17
Employed,Male,Secondary,Married,Urban,25-35,0,No difficulty,6329.8953
Inactive,Female,Secondary,Married,Urban,25-35,0,No difficulty,5458.2299
Inactive,Male,Primary,Single,Urban,16-24,0,No difficulty,4842.2532
Employed,Female,Primary,Single,Urban,36-40,0,No difficulty,5312.4001
Employed,Female,Secondary,Single,Urban,41-64,0,No difficulty,4030.2827
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,5877.4519
Inactive,Male,Secondary,Single,Urban,16-24,0,No difficulty,4978.1575
Employed,Female,Secondary,Married,Urban,25-35,0,No difficulty,4730.5144
Employed,Male,Secondary,Married,Urban,36-40,0,No difficulty,7094.34
Employed,Female,Higher,Married,Urban,41-64,1,No difficulty,7936.0952
Employed,Female,Higher,Married,Urban,41-64,1,No difficulty,5477.6093
Employed,Female,Secondary,Single,Urban,41-64,0,No difficulty,4048.4353
Employed,Female,Higher,Single,Urban,41-64,0,No difficulty,3754.6615
Employed,Male,Secondary,Married,Urban,25-35,0,No difficulty,5530.3381
Inactive,Female,Secondary,Married,Urban,25-35,0,No difficulty,4601.3708
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,4645.4539
Inactive,Female,Secondary,Married,Urban,41-64,0,No difficulty,4464.8755
Employed,Female,Higher,Married,Urban,41-64,0,No difficulty,3979.6457
Employed,Male,Higher,Married,Urban,41-64,0,Disabled,5027.1872
Employed,Female,Secondary,Single,Urban,16-24,0,No difficulty,4806.6977
Employed,Male,Higher,Married,Urban,25-35,0,No difficulty,5530.3381
Employed,Female,Higher,Married,Urban,25-35,0,No difficulty,4601.3708
Employed,Female,Higher,Married,Urban,41-64,0,Disabled,4034.0589
Employed,Male,Higher,Married,Urban,41-64,0,No difficulty,4880.4227
Employed,Female,Secondary,Single,Urban,25-35,1,No difficulty,6570.8338
Employed,Female,Higher,Single,Urban,16-24,0,No difficulty,5607.8429
Inactive,Female,Higher,Married,Urban,41-64,0,Disabled,4464.8755
Employed,Male,Secondary,Single,Urban,25-35,0,No difficulty,5459.8831
Employed,Female,Secondary,Married,Urban,41-64,0,No difficulty,3782.2107
Inactive,Female,Secondary,Married,Urban,41-64,0,No difficulty,4342.9839
Inactive,Male,Secondary,Married,Urban,41-64,0,No difficulty,4414.9683000000005
Inactive,Female,Primary,Single,Urban,16-24,0,No difficulty,6086.996
Employed,Female,Higher,Married,Urban,41-64,0,No difficulty,4034.0589
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,4302.7517
Employed,Female,Secondary,Single,Urban,41-64,0,No difficulty,4048.4353
Employed,Female,Secondary,Single,Urban,41-64,0,No difficulty,4312.5715
Employed,Male,Higher,Married,Urban,36-40,0,No difficulty,6346.8064
Employed,Female,Higher,Married,Urban,25-35,0,No difficulty,4730.5144
Employed,Male,Secondary,Single,Urban,25-35,0,No difficulty,6329.8953
Inactive,Female,Primary,Married,Urban,25-35,0,No difficulty,5458.2299
Employed,Male,Secondary,Married,Urban,36-40,0,No difficulty,6900.6637
Unemployed,Male,Primary,Single,Urban,25-35,0,No difficulty,6329.8953
Employed,Male,None,Single,Urban,41-64,0,No difficulty,5975.8641
Inactive,Female,Secondary,Single,Urban,16-24,0,No difficulty,5920.8203
Employed,Male,Secondary,Single,Urban,41-64,0,Disabled,5630.9586
Employed,Female,Secondary,Single,Urban,41-64,0,No difficulty,4782.394
Employed,Female,Secondary,Married,Urban,41-64,0,No difficulty,4342.9839
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,4518.6324
Employed,Female,Higher,Married,Urban,41-64,0,No difficulty,4194.8377
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,4302.7517
Employed,Female,Secondary,Single,Urban,41-64,0,No difficulty,4312.5715
Employed,Female,Secondary,Single,Urban,16-24,0,No difficulty,5765.2345
Employed,Female,Secondary,Single,Urban,16-24,0,No difficulty,5747.4716
Employed,Female,Secondary,Single,Urban,41-64,1,No difficulty,4519.7363
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,7087.8014
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,7087.8014
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,6654.9081
Employed,Male,Secondary,Married,Urban,25-35,0,No difficulty,5459.8831
Inactive,Female,Secondary,Married,Urban,25-35,0,No difficulty,5611.4224
Inactive,Male,Higher,Married,Urban,41-64,0,No difficulty,4623.7902
Employed,Female,Secondary,Married,Urban,41-64,0,No difficulty,3893.1782
Inactive,Male,Secondary,Married,Urban,25-35,0,No difficulty,6374.8572
Inactive,Female,Secondary,Married,Urban,25-35,0,No difficulty,5304.0304
Unemployed,Female,Higher,Single,Urban,41-64,0,No difficulty,3988.2324
Employed,Male,Secondary,Single,Urban,41-64,0,No difficulty,4824.9816
Employed,Female,Higher,Single,Urban,41-64,0,No difficulty,3872.8982
Employed,Female,Higher,Single,Urban,41-64,0,No difficulty,4147.1848
Inactive,Female,Higher,Married,Urban,25-35,0,Disabled,5845.5641
Employed,Male,Higher,Married,Urban,25-35,0,No difficulty,6374.8572
Inactive,Female,Primary,Single,Urban,41-64,0,Disabled,4114.0655
Employed,Male,Secondary,Single,Urban,41-64,0,No difficulty,5177.1453
Employed,Female,Primary,Single,Urban,41-64,0,No difficulty,4306.6182
Employed,Male,Primary,Single,Urban,25-35,0,No difficulty,7296.5121
Employed,Female,Secondary,Single,Urban,16-24,0,No difficulty,6444.281
Inactive,Female,Primary,Single,Urban,16-24,0,No difficulty,6824.9686
Inactive,Female,Secondary,Single,Urban,41-64,0,No difficulty,4518.9044
Inactive,Female,Secondary,Single,Urban,16-24,0,No difficulty,6444.281
Employed,Female,Secondary,Married,Urban,36-40,0,No difficulty,5956.4625
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,6313.6424
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,7461.7329
Inactive,Female,Secondary,Single,Urban,41-64,0,No difficulty,4147.1848
Inactive,Female,Secondary,Single,Rural,41-64,0,No difficulty,1270.5063
